PS D:\dynamic> python dup-count-of-ids.py

===== ID COUNTS =====
ID 17507 → 2 files
ID 17510 → 2 files
ID 17516 → 2 files
ID 17517 → 2 files
ID 17523 → 2 files
ID 17533 → 2 files
ID 17535 → 2 files
ID 17539 → 2 files
ID 17540 → 2 files
ID 17543 → 2 files
ID 17545 → 2 files
ID 17547 → 2 files
ID 17548 → 2 files
ID 17549 → 2 files
ID 17550 → 2 files
ID 17554 → 2 files
ID 17558 → 2 files
ID 17561 → 2 files
ID 17563 → 2 files
ID 17564 → 2 files
ID 17565 → 2 files
ID 17568 → 2 files
ID 17571 → 2 files
ID 17577 → 2 files
ID 17579 → 2 files
ID 17580 → 2 files
ID 17581 → 2 files
ID 17584 → 2 files
ID 17586 → 2 files
ID 17589 → 2 files
ID 17594 → 2 files
ID 17596 → 2 files
ID 17600 → 2 files
ID 17605 → 2 files
ID 17705 → 2 files
ID 17706 → 2 files
ID 17709 → 2 files
ID 17712 → 2 files
ID 17715 → 2 files
ID 17716 → 2 files
ID 17719 → 2 files
ID 17726 → 2 files
ID 17729 → 2 files
ID 17732 → 2 files
ID 17733 → 2 files
ID 17734 → 2 files
ID 17735 → 2 files
ID 17736 → 2 files
ID 17737 → 2 files
ID 17738 → 2 files
ID 17739 → 2 files
ID 17741 → 2 files
ID 17742 → 2 files
ID 17744 → 2 files
ID 17745 → 2 files
ID 17746 → 2 files
ID 17748 → 2 files
ID 17749 → 2 files
ID 17752 → 2 files
ID 17760 → 2 files
ID 17762 → 2 files
ID 17763 → 2 files
ID 17767 → 2 files
ID 17769 → 2 files
ID 17774 → 2 files
ID 17777 → 2 files
ID 17780 → 2 files
ID 17782 → 2 files
ID 17794 → 2 files
ID 17795 → 2 files
ID 17796 → 2 files
ID 17801 → 2 files
ID 17819 → 2 files
ID 17820 → 2 files
ID 17840 → 2 files
ID 17873 → 2 files
ID 17874 → 2 files
ID 17877 → 2 files
ID 17879 → 2 files
ID 17880 → 2 files
ID 17881 → 2 files
ID 17882 → 2 files
ID 17891 → 2 files
ID 17892 → 2 files
ID 17893 → 2 files
ID 17929 → 2 files
ID 17953 → 2 files
ID 17954 → 2 files
ID 17958 → 2 files
ID 17972 → 2 files
ID 17974 → 2 files
ID 17975 → 2 files
ID 17982 → 2 files
ID 17985 → 2 files
ID 17987 → 2 files
ID 17990 → 2 files
ID 17993 → 2 files
ID 17995 → 2 files
ID 17997 → 2 files
ID 17998 → 2 files
ID 18000 → 2 files
ID 18002 → 2 files
ID 18005 → 2 files
ID 18006 → 2 files
ID 18008 → 2 files
ID 18025 → 2 files
ID 18026 → 2 files
ID 18029 → 2 files
ID 18033 → 2 files
ID 18036 → 2 files
ID 18038 → 2 files
ID 18041 → 2 files
ID 18045 → 2 files
ID 18053 → 2 files
ID 18054 → 2 files
ID 18056 → 2 files
ID 18057 → 2 files
ID 18058 → 2 files
ID 18060 → 2 files
ID 18063 → 2 files
ID 18068 → 2 files
ID 18073 → 2 files
ID 18099 → 2 files
ID 18115 → 2 files
ID 18119 → 2 files
ID 18120 → 2 files
ID 18121 → 2 files
ID 18122 → 2 files
ID 18127 → 2 files
ID 18128 → 2 files
ID 18132 → 2 files
ID 18133 → 2 files
ID 18134 → 2 files
ID 18153 → 2 files
ID 18157 → 2 files
ID 18158 → 2 files
ID 18179 → 2 files
ID 18197 → 2 files
ID 18206 → 2 files
ID 18207 → 2 files
ID 18210 → 2 files
ID 18211 → 2 files
ID 18213 → 2 files
ID 18216 → 2 files
ID 18217 → 2 files
ID 18231 → 2 files
ID 18237 → 2 files
ID 18239 → 2 files
ID 18243 → 2 files
ID 18246 → 2 files
ID 18253 → 2 files
ID 18254 → 2 files
ID 18255 → 2 files
